0,1,2,3,4,5,6,7,8,9,10,11,12,13
PROV_RETIRE_TESTBED,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
PROV_RETIRE_PRODUCTION,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_LIST_RETIRED_APP,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_VIEW_DASHBOARD,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_TB_OPERATION,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_APPROVED_APPLICATION_STATE,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_PRE_ACTIVE_TESTBED_STATE_COMMON,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
VIEW_PRE_ACTIVE_TESTBED_ENG_APPROVAL_STATUS,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_CHANGE_TESTBED_SLA,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
VIEW_ALL_APP_NCS_DETAIL,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
ROLE_PRODUCTION_OPERATION,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_PRE_ACTIVE_PRODUCTION_STATE,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_PRE_PROV_PRODUCTION_STATE_COMMON,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
PROV_ACTIVE_PRODUCTION_STATE,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
VIEW_PRE_PROV_PRODUCTION_ENG_APPROVAL_STATUS,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
VIEW_LIMITED_PRODUCTION_TIME,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_CHANGE_PRODUCTION_SLA,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
ROLE_SDP_MANAGER,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
ROLE_SMSC_ENGINEER,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
PROV_PRE_ACTIVE_TESTBED_STATE_SMSC_CONFIG,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
PROV_PRE_PROV_PRODUCTION_STATE_SMSC_CONFIG,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
ROLE_MMSC_ENGINEER,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
PROV_PRE_ACTIVE_TESTBED_STATE_MMSC_CONFIG,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
PROV_PRE_PROV_PRODUCTION_STATE_MMSC_CONFIG,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
ROLE_PREPAID_IN_ENGINEER,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
PROV_PRE_ACTIVE_TESTBED_STATE_PREPAID_CONFIG,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
PROV_PRE_PROV_PRODUCTION_STATE_PREPAID_CONFIG,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
ROLE_POSTPAID_BILLING_ENGINEER,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
PROV_PRE_ACTIVE_TESTBED_STATE_POSTPAID_CONFIG,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
PROV_PRE_PROV_PRODUCTION_STATE_POSTPAID_CONFIG,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
ROLE_CUSTOMER_CARE_USER,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
ROLE_USSD_ENGINEER,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
PROV_PRE_ACTIVE_TESTBED_STATE_USSD_CONFIG,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
PROV_PRE_PROV_PRODUCTION_STATE_USSD_CONFIG,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
